Date,No.,N / S,C / Rn,C / Rs,C / R,Wolf,                                                       Notes
9 Nov 1853,1,N,11,,11,22,
17 Nov 1853,1,N,11,,,,
17 Nov 1853,2,N,11,,22,28,
21 Nov 1853,2,N,14,,14,20,
23 Nov 1853,3,S,,12,12,38,
25 Nov 1853,3,S,,11,,,
25 Nov 1853,4,N,11,,22,36,
,,,,,,,"Rn = 11.6, Rs = 4.6, R = 16.2."
1 Dec 1853,5,S,,13,13,14,
2 Dec 1853,5,S,,12,,,
2 Dec 1853,6,S,,11,23,12,"Group 6 on limb, probably missed by Wolf."
8 Dec 1853,6,S,,15,,,
8 Dec 1853,7,N,13,,28,24,
9 Dec 1853,6,S,,11,,,
9 Dec 1853,7,N,14,,25,30,
12 Dec 1853,7,N,13,,13,22,See above.
14 Dec 1853,7,N,13,,,,
14 Dec 1853,8,S,,11,,,
14 Dec 1853,9,N,11,,35,34,
16 Dec 1853,7,N,12,,,,
16 Dec 1853,9,N,17,,29,32,
19 Dec 1853,9,N,22,,22,25,
26 Dec 1853,11,N,12,,12,16,
28 Dec 1853,11,N,11,,,,
28 Dec 1853,10,S,,12,,,
28 Dec 1853,12,N,11,,34,15,?
29 Dec 1853,10,S,,12,,,
29 Dec 1853,11,N,11,,,,
29 Dec 1853,13,S,,11,34,15,?
31 Dec 1853,10,S,,11,,,
31 Dec 1853,13,S,,11,,,"13 not measured by C today, but appears on drawing."
31 Dec 1853,14,S,,11,33,53,
,,,,,,,"Rn = 13.3, Rs = 11.8, R = 25.1."
8 Jan 1854,14,S,,12,,,
8 Jan 1854,15,N,18,,30,25,
13 Jan 1854,15,N,27,,27,21,
19 Jan 1854,16,S,,12,,,
19 Jan 1854,17,S,,12,24,16,C treats 16 and 17 as two groups.  W single group?
21 Jan 1854,16,S,,11,11,0,
22 Jan 1854,,,,,0,0,
23 Jan 1854,,,,,0,0,
25Jan 1854,,,,,0,0,
26 Jan 1854,,,,,0,0,
28 Jan 1854,,,,,0,0,
,,,,,,,"Rn = 5.0, Rs = 5.2, R = 10.2."
2 Feb 1854,19,N,14,,,,Misprint on C's drawing - CM transit should be 3 Feb?
2 Feb 1854,20,S,,11,25,27,
4 Feb 1854,18,N,11,,,,
4 Feb 1854,19,N,14,,,,
4 Feb 1854,20,S,,14,39,43,W counting small spots within large penumbra?
10 Feb 1854,20,S,,15,,,
10 Feb 1854,21,S,,13,28,32,
