,Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
0,9.1,3.54,1.39,0.482,F5,16.84501631012894,9
1,9.27,21.9,3.1,0.999,K3V,20.97222057420059,0
2,6.61,2.81,0.63,-0.019,B9,13.8535315995254,9
3,8.06,7.75,0.97,0.37,F0V,17.506508512531553,0
4,8.55,2.87,1.11,0.902,G8III,15.839409483669964,1
5,12.31,18.8,4.99,1.336,M0V:,23.6807892463184,0
6,9.64,17.74,1.3,0.74,G0,20.88476807747854,9
7,9.05,5.17,1.95,1.102,M6e-M8.5e Tc,17.617452715469714,9
8,8.59,4.81,0.99,1.067,G5,17.00072538186916,9
9,7.34,4.29,0.84,0.081,A2,15.50228646092362,9
10,8.43,4.06,1.16,1.484,K4III,16.47263016788597,1
11,8.8,3.49,1.48,1.128,K0III,16.5141271347959,1
12,7.25,5.11,0.99,1.2,K0,15.792104500673563,9
13,8.6,2.45,1.16,1.166,K2,15.545830421822664,9
14,8.15,6.15,1.0,0.425,F3V,17.094375578877084,0
15,11.03,19.93,2.36,1.567,K5,22.52753649350244,9
16,6.53,4.12,0.64,0.955,G5,14.604486080165676,9
17,8.51,10.76,1.06,0.516,G0,18.66906135665185,9
18,7.55,5.84,0.95,1.438,K2,16.382064235561998,9
19,8.69,4.47,1.15,0.962,G8/K0III/IV,16.941537615659684,1
20,7.57,12.21,0.95,0.456,F2V,18.00357831972441,0
21,6.28,13.74,0.98,0.763,G3IV,16.969933663617656,1
22,9.13,9.19,1.34,0.535,F7V,18.94657755693056,0
23,9.32,9.66,1.38,0.671,G5V,19.24488563207747,0
24,8.83,5.64,1.05,0.468,F3/F5V,17.586395519916714,0
25,9.14,2.85,1.4,1.041,G8III,16.41422430004255,1
26,8.26,3.79,0.88,0.142,A0,16.15319604984036,9
27,7.63,1.84,1.05,1.453,K2,13.954089115047683,9
28,9.09,3.1,1.29,0.04,B8,16.546808469171363,9
29,8.1,8.94,1.09,0.466,F2,17.856687593979586,9
30,6.43,12.71,0.74,0.514,F7.5IV-V,16.950727752770042,1
31,9.07,5.96,1.45,0.916,G8/K0III/IV,17.946231298701182,1
32,7.68,6.3,0.96,1.15,K0,16.67670274726791,9
33,10.44,3.74,2.72,0.391,F0V,18.3043580110024,0
34,8.65,23.84,0.78,0.778,G6V,20.536531255341,0
35,7.46,10.98,1.18,0.475,F3V,17.663011700570365,0
36,8.7,3.42,1.04,0.026,A0,16.370130530280676,9
37,10.61,-3.4,4.25,0.57,B...,18.267394585211274,9
38,8.2,6.38,0.91,0.387,F2,17.22410339360581,9
